prompt,img_reward_score,hpsv_reward_score,aesthetic_reward_score,clip_reward_score,img_path
A red colored car.,1.595141053199768,0.2827,3.13262939453125,27.6909236907959,results/evals/sd_snes_img_reward/0/max.png
A red colored car.,0.8388095498085022,0.2805,3.353107452392578,22.79432487487793,results/evals/sd_snes_img_reward/0/baseline.png
A red colored car.,1.3285129070281982,0.2869,3.5564417839050293,26.776742935180664,results/evals/sd_snes_img_reward/0/14.png
A red colored car.,1.322466492652893,0.2827,3.3993630409240723,27.5113468170166,results/evals/sd_snes_img_reward/0/20.png
A red colored car.,1.4015722274780273,0.2854,3.266476631164551,27.185285568237305,results/evals/sd_snes_img_reward/0/16.png
A red colored car.,1.3634809255599976,0.2861,3.45396089553833,26.30891227722168,results/evals/sd_snes_img_reward/0/13.png
A red colored car.,1.353879690170288,0.2834,3.24636173248291,25.74022102355957,results/evals/sd_snes_img_reward/0/12.png
A red colored car.,1.4927939176559448,0.2852,3.1132993698120117,26.3829288482666,results/evals/sd_snes_img_reward/0/23.png
A red colored car.,0.8388095498085022,0.2805,3.353107452392578,22.79432487487793,results/evals/sd_snes_img_reward/0/0.png
A red colored car.,1.0459766387939453,0.2847,3.1773533821105957,26.125877380371094,results/evals/sd_snes_img_reward/0/1.png
A red colored car.,1.3649626970291138,0.2856,3.1551432609558105,28.28679656982422,results/evals/sd_snes_img_reward/0/19.png
A red colored car.,1.1075658798217773,0.2878,3.5363588333129883,24.692171096801758,results/evals/sd_snes_img_reward/0/2.png
A red colored car.,1.1148576736450195,0.2847,3.4990005493164062,27.94405746459961,results/evals/sd_snes_img_reward/0/6.png
A red colored car.,1.0831701755523682,0.2905,3.3146018981933594,28.114023208618164,results/evals/sd_snes_img_reward/0/5.png
A red colored car.,1.3826262950897217,0.2886,3.3593039512634277,28.00677490234375,results/evals/sd_snes_img_reward/0/11.png
A red colored car.,1.4408698081970215,0.2869,3.670832633972168,24.76498794555664,results/evals/sd_snes_img_reward/0/21.png
A red colored car.,1.4897538423538208,0.2805,3.2574167251586914,27.29987144470215,results/evals/sd_snes_img_reward/0/27.png
A red colored car.,1.3574960231781006,0.2834,3.213144302368164,24.521230697631836,results/evals/sd_snes_img_reward/0/10.png
A red colored car.,0.9210939407348633,0.282,2.7129788398742676,25.015199661254883,results/evals/sd_snes_img_reward/0/3.png
A red colored car.,1.1108814477920532,0.2869,3.506927967071533,23.494131088256836,results/evals/sd_snes_img_reward/0/4.png
A red colored car.,1.4752169847488403,0.2798,3.8230810165405273,27.581584930419922,results/evals/sd_snes_img_reward/0/29.png
