prompt,img_reward_score,hpsv_reward_score,aesthetic_reward_score,clip_reward_score,img_path
A red colored car.,1.4744969606399536,0.295,4.048949241638184,23.45087432861328,results/evals/sd_zero_order_img_reward/0/max.png
A red colored car.,-0.1583823412656784,0.2812,3.5980210304260254,23.47772789001465,results/evals/sd_zero_order_img_reward/0/baseline.png
A red colored car.,1.414487600326538,0.284,3.9335412979125977,25.2557373046875,results/evals/sd_zero_order_img_reward/0/14.png
A red colored car.,1.414487600326538,0.284,3.9335412979125977,25.2557373046875,results/evals/sd_zero_order_img_reward/0/13.png
A red colored car.,1.414487600326538,0.284,3.9335412979125977,25.2557373046875,results/evals/sd_zero_order_img_reward/0/12.png
A red colored car.,-0.1583823412656784,0.2812,3.5980210304260254,23.47772789001465,results/evals/sd_zero_order_img_reward/0/0.png
A red colored car.,0.7297385334968567,0.2793,3.4494423866271973,23.345142364501953,results/evals/sd_zero_order_img_reward/0/1.png
A red colored car.,0.9436725974082947,0.2805,3.7402052879333496,23.07743263244629,results/evals/sd_zero_order_img_reward/0/2.png
A red colored car.,1.414487600326538,0.284,3.9335412979125977,25.2557373046875,results/evals/sd_zero_order_img_reward/0/6.png
A red colored car.,1.3131612539291382,0.2944,3.47727108001709,23.612720489501953,results/evals/sd_zero_order_img_reward/0/5.png
A red colored car.,1.414487600326538,0.284,3.9335412979125977,25.2557373046875,results/evals/sd_zero_order_img_reward/0/11.png
A red colored car.,1.414487600326538,0.284,3.9335412979125977,25.2557373046875,results/evals/sd_zero_order_img_reward/0/10.png
A red colored car.,1.0545356273651123,0.2803,3.376509666442871,25.66581153869629,results/evals/sd_zero_order_img_reward/0/3.png
A red colored car.,1.2531908750534058,0.283,3.4653477668762207,23.092756271362305,results/evals/sd_zero_order_img_reward/0/4.png
A red colored car.,1.414487600326538,0.284,3.9335412979125977,25.2557373046875,results/evals/sd_zero_order_img_reward/0/8.png
A red colored car.,1.414487600326538,0.284,3.9335412979125977,25.2557373046875,results/evals/sd_zero_order_img_reward/0/7.png
A red colored car.,1.414487600326538,0.284,3.9335412979125977,25.2557373046875,results/evals/sd_zero_order_img_reward/0/9.png
A red colored car.,1.4744969606399536,0.295,4.048949241638184,23.45087432861328,results/evals/sd_zero_order_img_reward/0/15.png
A black colored car.,1.240627408027649,0.2952,3.5174641609191895,22.35698127746582,results/evals/sd_zero_order_img_reward/1/max.png
A black colored car.,0.4157385528087616,0.288,3.627208709716797,22.681955337524414,results/evals/sd_zero_order_img_reward/1/baseline.png
A black colored car.,1.240627408027649,0.2952,3.5174641609191895,22.35698127746582,results/evals/sd_zero_order_img_reward/1/14.png
A black colored car.,1.240627408027649,0.2952,3.5174641609191895,22.35698127746582,results/evals/sd_zero_order_img_reward/1/13.png
A black colored car.,1.1927030086517334,0.289,4.123440265655518,20.702289581298828,results/evals/sd_zero_order_img_reward/1/12.png
A black colored car.,0.4157385528087616,0.288,3.627208709716797,22.681955337524414,results/evals/sd_zero_order_img_reward/1/0.png
A black colored car.,1.1178139448165894,0.288,3.676821708679199,20.563737869262695,results/evals/sd_zero_order_img_reward/1/1.png
A black colored car.,1.1927030086517334,0.289,4.123440265655518,20.702289581298828,results/evals/sd_zero_order_img_reward/1/2.png
A black colored car.,1.1927030086517334,0.289,4.123440265655518,20.702289581298828,results/evals/sd_zero_order_img_reward/1/6.png
A black colored car.,1.1927030086517334,0.289,4.123440265655518,20.702289581298828,results/evals/sd_zero_order_img_reward/1/5.png
A black colored car.,1.1927030086517334,0.289,4.123440265655518,20.702289581298828,results/evals/sd_zero_order_img_reward/1/11.png
A black colored car.,1.1927030086517334,0.289,4.123440265655518,20.702289581298828,results/evals/sd_zero_order_img_reward/1/10.png
A black colored car.,1.1927030086517334,0.289,4.123440265655518,20.702289581298828,results/evals/sd_zero_order_img_reward/1/3.png
A black colored car.,1.1927030086517334,0.289,4.123440265655518,20.702289581298828,results/evals/sd_zero_order_img_reward/1/4.png
A black colored car.,1.1927030086517334,0.289,4.123440265655518,20.702289581298828,results/evals/sd_zero_order_img_reward/1/8.png
A black colored car.,1.1927030086517334,0.289,4.123440265655518,20.702289581298828,results/evals/sd_zero_order_img_reward/1/7.png
A black colored car.,1.1927030086517334,0.289,4.123440265655518,20.702289581298828,results/evals/sd_zero_order_img_reward/1/9.png
A black colored car.,1.240627408027649,0.2952,3.5174641609191895,22.35698127746582,results/evals/sd_zero_order_img_reward/1/15.png
A pink colored car.,1.8900651931762695,0.291,3.2691845893859863,28.65428924560547,results/evals/sd_zero_order_img_reward/2/max.png
A pink colored car.,1.7719275951385498,0.2898,3.540471076965332,29.48541259765625,results/evals/sd_zero_order_img_reward/2/baseline.png
A pink colored car.,1.8900651931762695,0.291,3.2691845893859863,28.65428924560547,results/evals/sd_zero_order_img_reward/2/14.png
A pink colored car.,1.8900651931762695,0.291,3.2691845893859863,28.65428924560547,results/evals/sd_zero_order_img_reward/2/13.png
A pink colored car.,1.8900651931762695,0.291,3.2691845893859863,28.65428924560547,results/evals/sd_zero_order_img_reward/2/12.png
A pink colored car.,1.7719275951385498,0.2898,3.540471076965332,29.48541259765625,results/evals/sd_zero_order_img_reward/2/0.png
A pink colored car.,1.85142183303833,0.299,3.746034622192383,28.890573501586914,results/evals/sd_zero_order_img_reward/2/1.png
A pink colored car.,1.85142183303833,0.299,3.746034622192383,28.890573501586914,results/evals/sd_zero_order_img_reward/2/2.png
A pink colored car.,1.8900651931762695,0.291,3.2691845893859863,28.65428924560547,results/evals/sd_zero_order_img_reward/2/6.png
A pink colored car.,1.8900651931762695,0.291,3.2691845893859863,28.65428924560547,results/evals/sd_zero_order_img_reward/2/5.png
A pink colored car.,1.8900651931762695,0.291,3.2691845893859863,28.65428924560547,results/evals/sd_zero_order_img_reward/2/11.png
A pink colored car.,1.8900651931762695,0.291,3.2691845893859863,28.65428924560547,results/evals/sd_zero_order_img_reward/2/10.png
A pink colored car.,1.8900651931762695,0.291,3.2691845893859863,28.65428924560547,results/evals/sd_zero_order_img_reward/2/3.png
A pink colored car.,1.8900651931762695,0.291,3.2691845893859863,28.65428924560547,results/evals/sd_zero_order_img_reward/2/4.png
A pink colored car.,1.8900651931762695,0.291,3.2691845893859863,28.65428924560547,results/evals/sd_zero_order_img_reward/2/8.png
A pink colored car.,1.8900651931762695,0.291,3.2691845893859863,28.65428924560547,results/evals/sd_zero_order_img_reward/2/7.png
A pink colored car.,1.8900651931762695,0.291,3.2691845893859863,28.65428924560547,results/evals/sd_zero_order_img_reward/2/9.png
A pink colored car.,1.8900651931762695,0.291,3.2691845893859863,28.65428924560547,results/evals/sd_zero_order_img_reward/2/15.png
A black colored dog.,1.5482072830200195,0.2852,3.2697854042053223,27.4787540435791,results/evals/sd_zero_order_img_reward/3/max.png
A black colored dog.,1.0575737953186035,0.2942,3.5090131759643555,25.24024200439453,results/evals/sd_zero_order_img_reward/3/baseline.png
A black colored dog.,1.5482072830200195,0.2852,3.2697854042053223,27.4787540435791,results/evals/sd_zero_order_img_reward/3/14.png
A black colored dog.,1.5482072830200195,0.2852,3.2697854042053223,27.4787540435791,results/evals/sd_zero_order_img_reward/3/13.png
A black colored dog.,1.5482072830200195,0.2852,3.2697854042053223,27.4787540435791,results/evals/sd_zero_order_img_reward/3/12.png
A black colored dog.,1.0575737953186035,0.2942,3.5090131759643555,25.24024200439453,results/evals/sd_zero_order_img_reward/3/0.png
A black colored dog.,1.2148120403289795,0.292,3.4660139083862305,25.129873275756836,results/evals/sd_zero_order_img_reward/3/1.png
