prompt,highest_score_img_reward,lowest_score_img_reward,baseline_score_img_reward,highest_score_hpsv,lowest_score_hpsv,baseline_score_hpsv,highest_score_clip,lowest_score_clip,baseline_score_clip,highest_score_aesthetic,lowest_score_aesthetic,baseline_score_aesthetic
A red colored car.,1.2574056386947632,0.636502742767334,0.9019576907157898,0.30465948581695557,0.28105735778808594,0.28403064608573914,25.842918395996094,20.54219627380371,24.480640411376953,3.7065000534057617,3.6798391342163086,3.3661141395568848
A black colored car.,0.7362620234489441,-0.2212517708539962,0.4993453025817871,0.29747867584228516,0.28687000274658203,0.29814058542251587,25.165512084960938,23.7249755859375,22.99175453186035,3.8946638107299805,3.9804468154907227,3.521291732788086
A pink colored car.,1.790542721748352,1.4557290077209473,1.4557290077209473,0.2887694537639618,0.28362295031547546,0.28362295031547546,28.913715362548828,26.598657608032227,26.598657608032227,3.9199485778808594,3.222334384918213,3.222334384918213
A black colored dog.,1.415825128555298,1.0680922269821167,1.2501686811447144,0.300160676240921,0.2948765158653259,0.29256266355514526,27.09551429748535,25.86821746826172,28.110017776489258,3.845275402069092,4.012655258178711,3.553302764892578
A red colored dog.,1.7949122190475464,1.4243512153625488,1.4991074800491333,0.2974976599216461,0.2949411869049072,0.2944205403327942,28.69207763671875,30.24941635131836,30.068002700805664,4.725252151489258,3.8627877235412598,3.8716230392456055
A blue colored dog.,1.8648947477340696,1.267632246017456,1.267632246017456,0.30359628796577454,0.2978493869304657,0.2978493869304657,29.041854858398438,29.487398147583008,29.487398147583008,4.2022705078125,3.6407957077026367,3.6407957077026367
A green colored banana.,-0.0574469268321991,-0.9184798002243042,-0.9184798002243042,0.26930537819862366,0.2667372524738312,0.2667372524738312,29.016151428222656,26.423789978027344,26.423789978027344,3.4451661109924316,3.3111376762390137,3.3111376762390137
A red colored banana.,0.1136544123291969,-1.8750554323196411,-1.8750554323196411,0.27797573804855347,0.2666308283805847,0.2666308283805847,32.42429733276367,26.0048885345459,26.0048885345459,3.5089077949523926,3.225472927093506,3.225472927093506
A black colored banana.,0.1765363812446594,-1.978850245475769,-1.639310002326965,0.2767349183559418,0.2646830976009369,0.2676030397415161,27.482297897338867,24.334686279296875,25.18558692932129,3.4825339317321777,2.700794219970703,2.8792996406555176
A white colored sandwich.,0.0434986799955368,-0.7386453747749329,-0.1398999094963073,0.29875701665878296,0.2901202440261841,0.287030428647995,23.473316192626953,25.220252990722656,25.98775863647461,3.303070545196533,2.46220064163208,3.4851765632629395
A black colored sandwich.,0.7080804705619812,-0.4381161034107208,0.0985781475901603,0.2904052138328552,0.29168760776519775,0.29379767179489136,26.43335723876953,29.15899658203125,25.157865524291992,3.6376285552978516,3.792743682861328,3.5141663551330566
An orange colored sandwich.,0.5533292889595032,-0.3402667641639709,-0.3402667641639709,0.2849120795726776,0.28278815746307373,0.28278815746307373,30.760330200195312,30.103763580322266,30.103763580322266,3.397082805633545,3.5042810440063477,3.5042810440063477
A pink colored giraffe.,1.5418400764465332,0.642265796661377,0.642265796661377,0.30270230770111084,0.3120718002319336,0.3120718002319336,31.855106353759766,27.367229461669922,27.367229461669922,4.554872989654541,3.9334640502929688,3.9334640502929688
A yellow colored giraffe.,0.982569456100464,-0.234562337398529,-0.234562337398529,0.2959224581718445,0.29955217242240906,0.29955217242240906,30.658639907836914,28.37718963623047,28.37718963623047,4.036927223205566,3.8490986824035645,3.8490986824035645
A brown colored giraffe.,0.3351590633392334,-0.1003702655434608,0.056253332644701,0.2952066659927368,0.2924531102180481,0.29260385036468506,25.58152198791504,25.898645401000977,25.65691375732422,3.848400592803955,3.8994550704956055,4.308741569519043
A red car and a white sheep.,1.93706738948822,1.7119287252426147,1.84660005569458,0.3189821243286133,0.28250759840011597,0.3099038004875183,32.02571105957031,31.02482795715332,32.265743255615234,3.9478201866149902,3.594111919403076,3.675203800201416
A blue bird and a brown bear.,1.9295587539672852,1.7069849967956543,1.8189599514007568,0.3134564161300659,0.3140219449996948,0.3094674348831177,36.69292449951172,34.16954040527344,33.644554138183594,4.044788837432861,3.6980648040771484,4.379164218902588
A green apple and a black backpack.,1.9318063259124756,1.7305606603622437,1.847610592842102,0.28443124890327454,0.2920832633972168,0.29116135835647583,30.788143157958984,32.168148040771484,32.676273345947266,3.429807662963867,3.4670968055725098,3.5846824645996094
A green cup and a blue cell phone.,1.5087000131607056,-2.197171449661255,-2.024728775024414,0.30085694789886475,0.26129281520843506,0.2564994692802429,29.083721160888672,24.64137077331543,23.81935691833496,3.856475830078125,3.5111002922058105,3.819911003112793
A yellow book and a red vase.,1.9546724557876587,-1.3630110025405884,-0.0787092596292495,0.3018990755081177,0.29330503940582275,0.2906358242034912,33.01594924926758,33.111480712890625,27.548416137695312,3.4260997772216797,3.9796929359436035,3.31062650680542
A white car and a red sheep.,1.7653943300247192,-0.2954522371292114,1.2490919828414917,0.30495697259902954,0.3087349534034729,0.31615734100341797,29.96512794494629,32.60877227783203,30.552209854125977,3.480639934539795,3.267932415008545,3.526073932647705
A brown bird and a blue bear.,1.782033085823059,-1.3534663915634155,1.6417046785354614,0.324743390083313,0.2934890687465668,0.3170287013053894,33.735836029052734,27.333881378173828,35.976959228515625,3.7775893211364746,3.962679386138916,3.5549392700195312
A black apple and a green backpack.,1.8339728116989136,0.9804683327674866,0.9804683327674866,0.3031877875328064,0.29342174530029297,0.29342174530029297,32.306060791015625,31.075241088867188,31.075241088867188,3.632077693939209,3.118490695953369,3.118490695953369
A blue cup and a green cell phone.,0.8425050973892212,-2.1959402561187744,-2.1959402561187744,0.29764842987060547,0.2642558813095093,0.2642558813095093,31.50838279724121,22.2574405670166,22.2574405670166,3.6036324501037598,3.9099369049072266,3.9099369049072266
A red book and a yellow vase.,1.915145993232727,-1.5860035419464111,-1.2615859508514404,0.3023778796195984,0.28175729513168335,0.28354212641716003,31.060739517211914,25.98716163635254,29.46925926208496,3.247448444366455,3.2875332832336426,3.8442306518554688
A horse riding an astronaut.,1.979227900505066,1.9188786745071411,1.9188786745071411,0.33239248394966125,0.31292855739593506,0.31292855739593506,29.937423706054688,29.765634536743164,29.765634536743164,4.354435443878174,3.7191824913024902,3.7191824913024902
A pizza cooking an oven.,1.325988531112671,0.0870756953954696,1.3225356340408323,0.2900225520133972,0.27752554416656494,0.28505587577819824,22.746440887451172,24.834548950195312,22.069580078125,3.860919952392578,3.8721508979797363,3.7520790100097656
A bird scaring a scarecrow.,1.845197677612305,-1.5889610052108765,0.6093368530273438,0.285501629114151,0.26215052604675293,0.2853468358516693,31.308927536010742,24.379390716552734,29.34168815612793,4.409048080444336,4.265849590301514,4.0902323722839355
A blue coloured pizza.,1.6918591260910034,0.8648548722267151,0.8915228843688965,0.29039451479911804,0.2885647714138031,0.2937159538269043,32.226715087890625,32.23316192626953,32.32741165161133,3.829498767852783,3.658531665802002,3.843845844268799
Hovering cow abducting aliens.,1.9833288192749023,-0.4096324443817138,0.2853468060493469,0.3101704716682434,0.27500247955322266,0.2641898989677429,29.958297729492188,23.349727630615234,24.31065559387207,4.171775817871094,3.3550820350646973,3.902181625366211
A panda making latte art.,1.9479776620864868,1.52279531955719,1.8540630340576172,0.3076133728027344,0.3086574077606201,0.3048834800720215,28.493703842163086,30.092435836791992,26.983924865722656,3.8242430686950684,3.4271907806396484,3.6235952377319336
